lucode,MAES_Code,MAES_Class,Subclass,c_above,c_below,c_soil,c_dead,Notes
1,1,Urban,Urban green / parks,5,1,20,1,"IPCC Tier 1; fragmented urban vegetation; settlements default ~5 tC/ha above; Settlements GL 2006 Table 8.1"
2,1,Urban,Sealed / built-up impervious,0,0,5,0,"No live biomass; residual soil C only; IPCC 2006 Ch.8"
3,2,Cropland,Arable (annual crops) – temperate,4,1,35,1,"IPCC 2006 Table 5.1 & Table 2.3; temperate moist cropland soil; annual crops above-ground ~4 tC/ha"
4,2,Cropland,Arable (annual crops) – Mediterranean / subtropical,5,1,30,1,"IPCC 2006; warm dry conditions; slightly lower soil C"
5,2,Cropland,Permanent crops – orchards / vineyards,15,4,35,3,"IPCC 2006 Table 5.3; woody perennial crops temperate"
6,2,Cropland,Permanent crops – tropical woody (e.g. oil palm, rubber),50,12,38,5,"IPCC 2006 Table 5.3; tropical plantation crops"
7,2,Cropland,Paddy / flooded cropland,4,1,25,0,"IPCC Wetlands Supplement 2013; rice paddies; anaerobic soil limits SOC accumulation"
8,3,Grassland,Improved / managed grassland – temperate,3,7,70,1,"IPCC 2006 Table 6.4; managed grassland temperate moist; high below-ground allocation"
9,3,Grassland,Semi-natural grassland – temperate,4,8,80,1,"IPCC 2006 Table 6.4; semi-natural temperate; reference SOC"
10,3,Grassland,Mediterranean / dry grassland,3,6,40,1,"IPCC 2006; warm dry; lower SOC; root-to-shoot higher under drought"
11,3,Grassland,Alpine / subalpine grassland,3,7,90,1,"IPCC Tier 1; high-altitude grassland; elevated SOC from slow decomposition"
12,3,Grassland,Tropical savanna grassland,4,6,35,1,"IPCC 2006 Table 6.1 & 6.4; tropical moist grassland"
13,4,Forest and woodland,Broadleaved evergreen forest – tropical moist,155,30,60,13,"IPCC 2006 Table 4.1; tropical moist broadleaf EV; highest above-ground biomass"
14,4,Forest and woodland,Broadleaved deciduous forest – tropical dry,70,15,35,9,"IPCC 2006 Table 4.1; tropical dry broadleaf DC"
15,4,Forest and woodland,Broadleaved deciduous forest – temperate,95,22,100,11,"IPCC 2006 Table 4.1; temperate broadleaf DC; high soil C"
16,4,Forest and woodland,Needleleaved evergreen forest – temperate,90,18,115,10,"IPCC 2006 Table 4.1; temperate conifer; high soil C"
17,4,Forest and woodland,Needleleaved evergreen forest – boreal,60,13,130,9,"IPCC 2006 Table 4.1; boreal conifer; highest soil C"
18,4,Forest and woodland,Needleleaved deciduous forest – boreal (larch),45,10,110,8,"IPCC Tier 1; boreal larch; NL DC"
19,4,Forest and woodland,Mixed forest – temperate,85,19,105,10,"IPCC 2006 Table 4.1; temperate mixed BL+NL"
20,4,Forest and woodland,Mediterranean woodland / open forest (e.g. holm oak, maquis woodland),50,12,45,6,"IPCC Tier 1; Mediterranean sclerophyllous woodland; lower biomass"
21,4,Forest and woodland,Planted / production forest – broadleaved,80,18,80,8,"IPCC 2006 Table 4.4; managed BL plantation temperate"
22,4,Forest and woodland,Planted / production forest – needleleaved,55,12,90,7,"IPCC 2006 Table 4.4; managed NL plantation; pine/spruce"
23,5,Heathland and shrub,Temperate heathland (e.g. Calluna, Erica),8,5,80,2,"IPCC Tier 1; dwarf-shrub heath; elevated soil C under peat-forming conditions"
24,5,Heathland and shrub,Mediterranean shrubland / garrigue / maquis – evergreen,20,8,30,3,"IPCC 2006 Table 6.1; Mediterranean BL EV shrubs"
25,5,Heathland and shrub,Mediterranean shrubland – deciduous,12,5,25,2,"IPCC 2006 Table 6.1; Mediterranean BL DC shrubs"
26,5,Heathland and shrub,Boreal / subalpine dwarf shrub (e.g. Vaccinium, Betula nana),5,4,60,1,"IPCC Tier 1; low-stature shrubs; moderate soil C"
27,5,Heathland and shrub,Tropical / subtropical shrubland,15,6,25,2,"IPCC 2006 Table 6.1; tropical shrublands"
